variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
cheverlvbp_dv,20.8152,35048,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/cheverlvbp_dv,Has child ever lived with both parents while in the study?
wave_of_switch1,1.3648,2298,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/wave_of_switch1,wave cohabiting with parents changed from both to one
wave_of_switch2,0.8344,1405,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/wave_of_switch2,wave cohabiting with parents changed from one to both
everswitch1_dv,20.8152,35048,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/everswitch1_dv,Switch from both to one parent ever happened for the child
everswitch2_dv,20.8152,35048,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/everswitch2_dv,Switch from one to both parents ever happened for the child
prob91e,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob91e,BHPS91 England selection prob
prob91w,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob91w,BHPS91 Wales selection prob
prob91s,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob91s,BHPS91 Scotland selection prob
prob99w,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob99w,BHPS99 Wales selection prob
prob99s,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob99s,BHPS99 Scotland selection prob
prob01ni,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob01ni,BHPS01 NI selection prob
prob09ni,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob09ni,GPS09 NI selection prob
prob09e,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob09e,GPS09 England selection prob
prob09w,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob09w,GPS09 Wales selection prob
prob09s,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob09s,GPS09 Scotland selection prob
