variable_id,description,pct_nonnegative
n_hcond26,Diagnosed health conditions: Bowel/colorectal cancer,14.9327
n_hcond27,Diagnosed health conditions: Lung cancer,14.9327
n_hcond18,"Diagnosed health conditions: Other long standing/chronic condition, please speci",5.977
n_hcond96,Diagnosed health conditions: None of these,5.5214
n_cancertyp1,Bowel/colorectal,0.2402
n_cancertyp2,Lung,0.2402
n_cancertyp3,Breast,0.2402
n_cancertyp4,Prostate,0.2402
n_cancertyp5,Liver,0.2402
n_cancertyp6,Skin cancer or melanoma,0.2402
n_cancertyp8,"Blood or bone marrow cancer, such as leukaemia",0.6089
n_cancertyp7,Other,0.2402
n_brainnervtyp1,Parkinson's disease,0.0981
n_brainnervtyp2,Motor Neurone disease,0.0981
n_brainnervtyp4,A learning disability,0.0981
n_brainnervtyp5,Cerebral palsy,0.0981
n_brainnervtyp6,Other,0.0981
n_hcondcode1,Health condition: Asthma,7.2136
n_hcondcode3,Health condition: Congestive heart failure,7.2136
n_hcondcode4,Health condition: Coronary heart disease,7.2136
n_hcondcode5,Health condition: Angina,7.2136
n_hcondcode6,Health condition: Heart attack or myocardial infarction,7.2136
n_hcondcode7,Health condition: Stroke,7.2136
n_hcondcode8,Health condition: Emphysema,7.2136
n_hcondcode10,Health condition: Hypothyroidism or an under-active thyroid,7.2136
n_hcondcode11,Health condition: Chronic bronchitis,7.2136
n_hcondcode12,Health condition: Any kind of liver condition,7.2136
n_hcondcode15,Health condition: Epilepsy,7.2136
n_hcondcode16,Health condition: High blood pressure,7.2136
n_hcondcode19,Health condition: Multiple sclerosis,7.2136
n_hcondcode21,Health condition: COPD (Chronic Obstructive Pulmonary Disease),7.2136
n_hcondcode23,Health condition: Osteoarthritis,7.2136
n_hcondcode24,Health condition: Rheumatoid arthritis,7.2136
n_hcondcode25,Health condition: Other arthritis,7.2136
n_hcondcode26,Health condition: Bowel/colorectal cancer,7.2136
n_hcondcode27,Health condition: Lung cancer,7.2136
n_hcondcode28,Health condition: Breast cancer,7.2136
n_hcondcode29,Health condition: Prostate cancer,7.2136
n_hcondcode30,Health condition: Liver cancer,7.2136
n_hcondcode31,Health condition: Skin cancer or melanoma,7.2136
